id,Name,Country,Category,Gender,Birth,Death,,,
1,"Shirakawa, Yoshinori  ",Japan ,Military-Ground ,Male ,1869,1932,,,
2,"Yun, Bong-gil  ",Korea ,Resistance ,Male ,1908,1932,,,
3,"Koo, Hsien-Jung  ",Taiwan ,Government ,Male ,1866,1937,,,
4,"Zhao, Dengyu  ",China ,Military-Ground ,Male ,1897,1937,,,
5,"Gao, Zhihang  ",China ,Military-Air ,Male ,1907,1937,,,
6,"Yue, Yiqin  ",China ,Military-Air ,Male ,1913,1937,,,
7,"Liu, Cuigang  ",China ,Military-Air ,Male ,1913,1937,,,
8,"Zheng, Xiaoxu  ",China ,Government ,Male ,1860,1938,,,
9,"Han, Fuju  ",China ,Military-Ground ,Male ,1890,1938,,,
10,"Wang, Mingzhang  ",China ,Military-Ground ,Male ,1893,1938,,,
11,"Rath, Ernst vom  ",Germany ,Government ,Male ,1909,1938,,,
12,"Backhouse, Roger  ",United Kingdom ,Military-Sea ,Male ,1878,1939,,,
13,"Fritsch, Werner  ",Germany ,Military-Ground ,Male ,1880,1939,,,
14,"Roettig, Wilhelm  ",Germany ,Military-Ground ,Male ,1888,1939,,,
15,"Langsdorff, Hans  ",Germany ,Military-Sea ,Male ,1894,1939,,,
16,"Chamberlain, Neville  ",United Kingdom ,Government ,Male ,1869,1940,,,
17,Lothian  ,United Kingdom ,Government ,Male ,1882,1940,,,
18,"Furusho, Mikio  ",Japan ,Military-Ground ,Male ,1882,1940,,,
19,"Bie, Tingfang  ",China ,Military-Ground ,Male ,1883,1940,,,
20,"Song, Zheyuan  ",China ,Military-Ground ,Male ,1885,1940,,,
21,Nagahisa  ,Japan ,Military-Ground ,Male ,1910,1940,,,
22,"Frantisek, Josef  ",Czechoslovakia ,Military-Air ,Male ,1914,1940,,,
23,"Metaxas, Ioannis  ",Greece ,Government ,Male ,1871,1941,,,
24,"Teleki, Pál  ",Hungary ,Government ,Male ,1879,1941,,,
